ST,COUNTY ID,COUNTY NAME,BROADBAND AVAILABILITY PER FCC,BROADBAND USAGE
VA,51001,Accomack County, 0.58 , 0.10 
VA,51003,Albemarle County, 0.89 , 0.51 
VA,51005,Alleghany County, 0.92 , 0.27 
VA,51007,Amelia County, 0.65 , 0.07 
VA,51009,Amherst County, 0.94 , 0.31 
VA,51011,Appomattox County, 0.71 , 0.18 
VA,51013,Arlington County, 0.98 , 0.70 
VA,51015,Augusta County, 0.80 , 0.32 
VA,51017,Bath County, 0.62 , 0.10 
VA,51019,Bedford County, 0.68 , 0.24 
VA,51021,Bland County, 1.00 , 0.05 
VA,51023,Botetourt County, 0.77 , 0.37 
VA,51025,Brunswick County, 0.22 , 0.04 
VA,51027,Buchanan County, 1.00 , 0.18 
VA,51029,Buckingham County, 0.42 , 0.07 
VA,51031,Campbell County, 0.81 , 0.13 
VA,51033,Caroline County, 0.66 , 0.38 
VA,51035,Carroll County, 0.63 , 0.08 
VA,51036,Charles City County, 1.00 , 0.06 
VA,51037,Charlotte County, 0.29 , 0.05 
VA,51041,Chesterfield County, 0.97 , 0.83 
VA,51043,Clarke County, 0.64 , 0.26 
VA,51045,Craig County, 0.69 , 0.04 
VA,51047,Culpeper County, 0.98 , 0.55 
VA,51049,Cumberland County, 0.20 , 0.02 
VA,51051,Dickenson County, 0.98 , 0.18 
VA,51053,Dinwiddie County, 0.54 , 0.06 
VA,51057,Essex County, 0.79 , 0.28 
VA,51059,Fairfax County, 0.98 , 0.92 
VA,51061,Fauquier County, 0.98 , 0.58 
VA,51063,Floyd County, 0.50 , 0.11 
VA,51065,Fluvanna County, 0.79 , 0.39 
VA,51067,Franklin County, 0.85 , 0.13 
VA,51069,Frederick County, 0.80 , 0.49 
VA,51071,Giles County, 0.98 , 0.13 
VA,51073,Gloucester County, 0.94 , 0.55 
VA,51075,Goochland County, 0.66 , 0.38 
VA,51077,Grayson County, 0.74 , 0.05 
VA,51079,Greene County, 0.88 , 0.45 
VA,51081,Greensville County, 0.25 , 0.17 
VA,51083,Halifax County, 0.51 , 0.15 
VA,51085,Hanover County, 0.88 , 0.61 
VA,51087,Henrico County, 0.98 , 0.67 
VA,51089,Henry County, 0.97 , 0.27 
VA,51091,Highland County, -   , 0.08 
VA,51093,Isle of Wight County, 0.85 , 0.42 
VA,51095,James City County, 0.94 , 0.69 
VA,51097,King and Queen County, 0.17 , 0.06 
VA,51099,King George County, 0.93 , 0.62 
VA,51101,King William County, 0.20 , 0.13 
VA,51103,Lancaster County, 0.72 , 0.37 
VA,51105,Lee County, 0.88 , 0.18 
VA,51107,Loudoun County, 0.95 , 0.98 
VA,51109,Louisa County, 0.58 , 0.18 
VA,51111,Lunenburg County, 0.31 , 0.05 
VA,51113,Madison County, 0.92 , 0.23 
VA,51115,Mathews County, 0.94 , 0.25 
VA,51117,Mecklenburg County, 0.46 , 0.16 
VA,51119,Middlesex County, 0.87 , 0.36 
VA,51121,Montgomery County, 0.85 , 0.35 
VA,51125,Nelson County, 0.95 , 0.18 
VA,51127,New Kent County, 0.77 , 0.51 
VA,51131,Northampton County, 0.68 , 0.06 
VA,51133,Northumberland County, 0.83 , 0.27 
VA,51135,Nottoway County, 0.56 , 0.08 
VA,51137,Orange County, 0.83 , 0.37 
VA,51139,Page County, 0.82 , 0.23 
VA,51141,Patrick County, 0.48 , 0.05 
VA,51143,Pittsylvania County, 0.66 , 0.09 
VA,51145,Powhatan County, 0.83 , 0.54 
VA,51147,Prince Edward County, 0.66 , 0.12 
VA,51149,Prince George County, 0.83 , 0.42 
VA,51153,Prince William County, 0.97 , 0.79 
VA,51155,Pulaski County, 0.88 , 0.33 
VA,51157,Rappahannock County, 0.82 , 0.18 
VA,51159,Richmond County, 0.63 , 0.36 
VA,51161,Roanoke County, 0.97 , 0.53 
VA,51163,Rockbridge County, 0.62 , 0.29 
VA,51165,Rockingham County, 0.83 , 0.29 
VA,51167,Russell County, 0.88 , 0.11 
VA,51169,Scott County, 0.83 , 0.17 
VA,51171,Shenandoah County, 0.85 , 0.21 
VA,51173,Smyth County, 0.94 , 0.25 
VA,51175,Southampton County, 0.48 , 0.11 
VA,51177,Spotsylvania County, 0.98 , 0.78 
VA,51179,Stafford County, 0.99 , 0.90 
VA,51181,Surry County, -   , 0.05 
VA,51183,Sussex County, 0.34 , 0.13 
VA,51185,Tazewell County, 0.98 , 0.25 
VA,51187,Warren County, 0.91 , 0.63 
VA,51191,Washington County, 0.99 , 0.31 
VA,51193,Westmoreland County, 0.90 , 0.28 
VA,51195,Wise County, 0.95 , 0.25 
VA,51197,Wythe County, 0.89 , 0.11 
VA,51199,York County, 0.98 , 0.76 
VA,51510,Alexandria city, 0.98 , 0.56 
VA,51515,Bedford city, -   , -   
VA,51520,Bristol city, 1.00 , 0.56 
VA,51530,Buena Vista city, 0.98 , 0.32 
VA,51540,Charlottesville city, 0.98 , 0.62 
VA,51550,Chesapeake city, 0.98 , 0.75 
VA,51570,Colonial Heights city, 0.98 , 0.49 
VA,51580,Covington city, 1.00 , -   
VA,51590,Danville city, 0.99 , 0.37 
VA,51595,Emporia city, 0.97 , -   
VA,51600,Fairfax city, 0.97 , -   
VA,51610,Falls Church city, 0.99 , 1.00 
VA,51620,Franklin city, 1.00 , 0.27 
VA,51630,Fredericksburg city, 0.93 , 0.75 
VA,51640,Galax city, 0.96 , 0.26 
VA,51650,Hampton city, 0.98 , 0.55 
VA,51660,Harrisonburg city, 0.92 , 0.58 
VA,51670,Hopewell city, 0.98 , 0.38 
VA,51678,Lexington city, 0.98 , -   
VA,51680,Lynchburg city, 0.94 , 0.34 
VA,51683,Manassas city, 0.96 , 1.00 
VA,51685,Manassas Park city, 0.99 , -   
VA,51690,Martinsville city, 0.99 , -   
VA,51700,Newport News city, 0.98 , 0.58 
VA,51710,Norfolk city, 0.96 , 0.55 
VA,51720,Norton city, 0.97 , 0.43 
VA,51730,Petersburg city, 0.98 , 0.37 
VA,51735,Poquoson city, 0.99 , 0.72 
VA,51740,Portsmouth city, 0.98 , 0.48 
VA,51750,Radford city, 0.99 , 0.10 
VA,51760,Richmond city, 0.95 , 0.54 
VA,51770,Roanoke city, 0.98 , 0.59 
VA,51775,Salem city, 0.96 , 0.53 
VA,51790,Staunton city, 0.98 , 0.54 
VA,51800,Suffolk city, 0.95 , 0.51 
VA,51810,Virginia Beach city, 0.98 , 0.70 
VA,51820,Waynesboro city, 0.98 , 0.61 
VA,51830,Williamsburg city, 0.71 , 1.00 
VA,51840,Winchester city, 0.99 , 0.99 
